tweet_id,customer_message,generated_reply,relevance,helpfulness,groundedness,safety_accuracy,overall,human_relevance,human_helpfulness,human_groundedness,human_safety_accuracy,human_overall
1023930,@AmericanAir #FraudAlert on your frequent flyer program Dont advertise that you can use miles to fly then hold them for purchase only #scam,"Thank you for sharing your concern. We take all feedback about our AAdvantage program seriously. If you have specific details or examples of the issue you’re experiencing, please let us know so we can investigate further. In the meantime, you can reach out to our AAdvantage support team for assistance with any program questions or concerns.",2,3,5,5,3,3,2,4,4,3
598608,"@AmericanAir not sure how you managed to un-check me in after I checked in, checked a bag at the airport and paid to upgrade to a specific seat which will now be occupied by somebody else. #unhappycustomer","I’m sorry to hear about the seat issue. To help you resolve this, could you please provide your record locator, flight number, and the seat you paid for? Once we have that information, we can check the current seat status and see what options are available.",5,5,5,5,5,5,4,5,5,4
2633465,"Asking customers to pay $40 for inflight WiFi, on a domestic US flight is preposterous @AmericanAir !! I pay the same amount for an ENTIRE MONTH with @116136","I’m sorry you’re experiencing frustration with the WiFi pricing. For assistance with WiFi service and pricing, please contact our WiFi partner @116462. They can help address your concerns.",3,3,5,5,3,4,2,3,3,3
1198346,"@AmericanAir I lost 80k+ miles , I have a AA credit card and thought this couldn't happen. I was not notified! Phone support was unhelpful.","I’m sorry to hear about the loss of your miles. To help investigate, could you please provide your AAdvantage membership number and the date you first noticed the missing miles? Once we have that information, we can look into the issue and determine the next steps.",4,4,5,5,4,5,4,5,3,4
2708069,@AmericanAir I've been waiting over an hour for my luggage! This is unacceptable. I am seriously considering cancel my advantage membership and credit card. Get your business together,We’re sorry to hear about the delay with your luggage. Could you please provide your flight number and the baggage claim area you’re at? We’ll work to locate your bags as quickly as possible.,5,5,5,5,5,5,4,5,5,5
890709,@AmericanAir #fail #AA advised to get on standby list by 2 AA people at gate #cantgeton standby!!,"I’m sorry you’re having trouble getting onto the standby list. Could you please provide your flight number and departure date so I can help confirm your standby status? If you’re still unable to get on standby, please let me know and I’ll assist further.",4,4,5,5,4,5,4,4,4,4
1351238,"Great flight @AmericanAir RNO to DFW... new, comfortable plane &amp; first class entertainment! Next leg DFW to TUL. #TulsaRun 15K tomorrow!👍✈️😀 https://t.co/bTP6zQ7YsJ","Thank you for sharing your experience! We’re glad you enjoyed the flight. If you’d like to upgrade your seat for the DFW to TUL leg, please share your booking reference and we’ll see what’s available.",2,2,5,5,2,2,2,4,4,2
762505,Just had the worst customer service experience EVER with gate agents for @AmericanAir in ATL. Can’t believe you all hire folks like this...,We're sorry to hear about your experience. Could you share the flight date and gate number so we can investigate further?,4,4,5,5,4,5,3,5,5,4
1098879,American Airlines is really awful @AmericanAir,We're sorry to hear that you had a negative experience. Could you share more details so we can better understand the situation and help you?,3,3,5,5,3,4,3,5,5,4
1955115,drying clothes and books after luggage being left in the rain for hours by @AmericanAir Worst airline ever!!! https://t.co/CCVzslFAKb,"We're sorry to hear about the inconvenience. Please contact our Baggage Service Office to file a claim. If you can provide your flight number and travel date, that will help us locate your case.",5,5,5,5,5,5,5,5,5,5
1300943,"You know, sometimes all it takes is amazing social/cust service to switch from 1 airline to another. Well done @AmericanAir. 👍🏽👏🏽","Thank you for your kind words! We're thrilled to hear you had a great experience. If there's anything else we can help with, just let us know.",5,4,5,5,4,5,4,5,5,5
